created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,
"Thu Jan 18 04:35:35 +0000 2024;1747840131766374802;""Rangkuman Gagasan Antikorupsi Anies"," Prabowo dan Ganjar di PAKU Integritas KPK https://t.co/L2ZSlQvk9n"";0;0;0;0;in;41730943;1747840131766374802;VIVAcoid;https://twitter.com/VIVAcoid/status/1747840131766374802",,,,,,,,
"Thu Jan 18 04:34:49 +0000 2024;1747839938748690595;""@SimplyRaka @strike_bravo_b framing tiktok about king maker ini udh dilevel yg meresahkan mereka beranggapan milih Anies = Amien rais Prabowo= Jokowi Ganjar = Megawati jadi menyampingkan sosok capres itu sendiri malah sibuk ngeliat siapa yg ngedukungnya"";0;0;0;0;in;1536681550800031744;1747810582752117208;icotalktoomuch;https://twitter.com/icotalktoomuch/status/1747839938748690595",,,,,,,,,
"Thu Jan 18 04:33:42 +0000 2024;1747839656975311103;""mau anies mau prabowo mau ganjar terserah"," yang penting kalo udah jadi kita hajar habis-habisan kalo mereka seenaknya sama rakyat."";0;0;0;0;in;472030985;1747839656975311103;adhilaksani48;https://twitter.com/adhilaksani48/status/1747839656975311103",,,,,,,,
"Thu Jan 18 04:31:00 +0000 2024;1747838976978034987;""Survei Indikator Simulasi 2 Paslon   Prabowo-Gibran 57",8% ✌️Vs Anies-Imin 29,5% TT/TJ 12,7%  Prabowo-Gibran 56,1%🫰 Vs Ganjar-Mahfud 28,4% TT/TJ 15,5%  Ganjar-Mahfud 41,1% Vs Anies-Imin 39,3% TT/TJ 19,"6%  Hasil survei ini menunjukan putaran ke-2 suara akar rumput tdk bisa disetir https://t.co/xCwwgjoAke"";0;0;0;2;in;1211153840122155008;1747838976978034987;alextham878;https://twitter.com/alextham878/status/1747838976978034987"
"Thu Jan 18 04:29:41 +0000 2024;1747838645602779454;""Anies", Prabowo," dan Ganjar Bersatu Lawan Korupsi: Apa Saja Gagasan Mereka  https://t.co/lrqNEvH0Xq"";0;0;0;0;in;1725579139690962945;1747838645602779454;jcc_network;https://twitter.com/jcc_network/status/1747838645602779454",,,,,,,
"Thu Jan 18 04:24:22 +0000 2024;1747837311134621889;""Skor yang Diberikan Anies Baswedan dan Ganjar Pranowo Dianggap Tak Pantas", Dudung Abdurachman Beri Nilai Prabowo Subianto 99,"9 #airlanggacenter #YangJoin02ThanksYa #RameRamePindahke02 Raffi Miftah MASBowoGBRAN PalingSEJUK Papua https://t.co/ithNO97QwT"";0;0;0;0;in;1578222594;1747837311134621889;masivinfo;https://twitter.com/masivinfo/status/1747837311134621889",,,,,,,
"Thu Jan 18 04:23:55 +0000 2024;1747837195279536338;""@LutiRizal @detikcom Bukan cuma Anies yg didukung ulama", Ganjar dan Prabowo juga didukung ulama," jangan klaim sepihak ah."";0;0;0;1;in;1575113575030353920;1747833692674990213;PaulusWijaya007;https://twitter.com/PaulusWijaya007/status/1747837195279536338",,,,,,,
"Thu Jan 18 04:23:27 +0000 2024;1747837078682091911;""Skor yang Diberikan Anies Baswedan dan Ganjar Pranowo Dianggap Tak Pantas", Dudung Abdurachman Beri Nilai Prabowo Subianto 99,"9 #airlanggacenter #YangJoin02ThanksYa #RameRamePindahke02 Raffi Miftah MASBowoGBRAN PalingSEJUK Papua https://t.co/nrtUdEFA98"";0;0;0;0;in;1457628022094241795;1747837078682091911;amareloterroso;https://twitter.com/amareloterroso/status/1747837078682091911",,,,,,,
"Thu Jan 18 04:22:38 +0000 2024;1747836875224777159;""Skor yang Diberikan Anies Baswedan dan Ganjar Pranowo Dianggap Tak Pantas", Dudung Abdurachman Beri Nilai Prabowo Subianto 99,"9 #airlanggacenter #YangJoin02ThanksYa #RameRamePindahke02 Raffi Miftah MASBowoGBRAN PalingSEJUK Papua https://t.co/P0zsHX83K0"";0;0;0;0;in;1455098961123938310;1747836875224777159;effengeel;https://twitter.com/effengeel/status/1747836875224777159",,,,,,,
"Thu Jan 18 04:21:51 +0000 2024;1747836678205854109;""Skor yang Diberikan Anies Baswedan dan Ganjar Pranowo Dianggap Tak Pantas", Dudung Abdurachman Beri Nilai Prabowo Subianto 99,"9 #airlanggacenter #YangJoin02ThanksYa #RameRamePindahke02 Raffi Miftah MASBowoGBRAN PalingSEJUK Papua https://t.co/J4lBvSuEfx"";0;0;0;0;in;1681155227163193345;1747836678205854109;BavejaIndonesia;https://twitter.com/BavejaIndonesia/status/1747836678205854109",,,,,,,
"Thu Jan 18 04:21:46 +0000 2024;1747836657183965617;""Survei Indikator 3 Paslon Menjelang Pilpres 2024  Prabowo-Gibran 45",79% Anies-Imin 25,47% Ganjar-Mahfud 22,96% TT/TJ 5,78%  Banding survei sebelum 02 Stagnan," 03 turun 3%  &amp  01 naik 3%...artinya suara 03 pindah ke 01 sebesar 3% https://t.co/ejWvIA721C"";1;3;0;5;in;1211153840122155008;1747836657183965617;alextham878;https://twitter.com/alextham878/status/1747836657183965617",,,,
